Designator,Mid X,Mid Y,Rotation,Layer
C1,105.412956,-55.575082,90.0,top
J2,108.0,-61.5,0.0,top
MK1,107.827002,-55.059499,180.0,top
R1,110.2,-55.6,270.0,top
